yourlist:M201912038471C63D39733769F8E060B506551E125F0C55R	isomap:M201912038471C63D39733769F8E060B506551E125F0C55R	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
ENSG00000135083	ENSG00000135083 -> Q8IV13-1	Q8IV13	CCNJL_HUMAN	reviewed	Cyclin-J-like protein	CCNJL	Homo sapiens (Human)	435
ENSG00000221886		Q8IZ13	ZBED8_HUMAN	reviewed	Protein ZBED8 (Transposon-derived Buster3 transposase-like protein) (Zinc finger BED domain-containing protein 8)	ZBED8 Buster3 C5orf54	Homo sapiens (Human)	594
ENSG00000164609		O95391	SLU7_HUMAN	reviewed	Pre-mRNA-splicing factor SLU7 (hSlu7)	SLU7	Homo sapiens (Human)	586
ENSG00000164611		O95997	PTTG1_HUMAN	reviewed	Securin (Esp1-associated protein) (Pituitary tumor-transforming gene 1 protein) (Tumor-transforming protein 1) (hPTTG)	PTTG1 EAP1 PTTG TUTR1	Homo sapiens (Human)	202
ENSG00000113328	ENSG00000113328 -> P51959-1;P51959-2	P51959	CCNG1_HUMAN	reviewed	Cyclin-G1 (Cyclin-G)	CCNG1 CCNG CYCG1	Homo sapiens (Human)	295
ENSG00000170584		Q8WVJ2	NUDC2_HUMAN	reviewed	NudC domain-containing protein 2	NUDCD2	Homo sapiens (Human)	157
ENSG00000072571	ENSG00000072571 -> O75330-1;O75330-2;O75330-3;O75330-4	O75330	HMMR_HUMAN	reviewed	Hyaluronan mediated motility receptor (Intracellular hyaluronic acid-binding protein) (Receptor for hyaluronan-mediated motility) (CD antigen CD168)	HMMR IHABP RHAMM	Homo sapiens (Human)	724
ENSG00000038274	ENSG00000038274 -> Q9NZL9-1;Q9NZL9-2;Q9NZL9-3	Q9NZL9	MAT2B_HUMAN	reviewed	Methionine adenosyltransferase 2 subunit beta (Methionine adenosyltransferase II beta) (MAT II beta) (Putative dTDP-4-keto-6-deoxy-D-glucose 4-reductase)	MAT2B TGR MSTP045 Nbla02999 UNQ2435/PRO4995	Homo sapiens (Human)	334
ENSG00000113645	ENSG00000113645 -> Q8IX03-1;Q8IX03-2	Q8IX03	KIBRA_HUMAN	reviewed	Protein KIBRA (HBeAg-binding protein 3) (Kidney and brain protein) (KIBRA) (WW domain-containing protein 1)	WWC1 KIAA0869	Homo sapiens (Human)	1113
ENSG00000113643	ENSG00000113643 -> P54136-1	P54136	SYRC_HUMAN	reviewed	Arginine--tRNA ligase, cytoplasmic (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)	RARS	Homo sapiens (Human)	660
ENSG00000120137		Q9H999	PANK3_HUMAN	reviewed	Pantothenate kinase 3 (hPanK3) (EC 2.7.1.33) (Pantothenic acid kinase 3)	PANK3	Homo sapiens (Human)	370
ENSG00000184347	ENSG00000184347 -> O75094-1;O75094-4	O75094	SLIT3_HUMAN	reviewed	Slit homolog 3 protein (Slit-3) (Multiple epidermal growth factor-like domains protein 5) (Multiple EGF-like domains protein 5)	SLIT3 KIAA0814 MEGF5 SLIL2 UNQ691/PRO1336	Homo sapiens (Human)	1523
ENSG00000040275	ENSG00000040275 -> Q96EA4-1	Q96EA4	SPDLY_HUMAN	reviewed	Protein Spindly (hSpindly) (Arsenite-related gene 1 protein) (Coiled-coil domain-containing protein 99) (Rhabdomyosarcoma antigen MU-RMS-40.4A) (Spindle apparatus coiled-coil domain-containing protein 1)	SPDL1 CCDC99	Homo sapiens (Human)	605
ENSG00000181163	ENSG00000181163 -> P06748-1;P06748-2;P06748-3	P06748	NPM_HUMAN	reviewed	Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin)	NPM1 NPM	Homo sapiens (Human)	294
ENSG00000072803	ENSG00000072803 -> Q9UKB1-1;Q9UKB1-2;Q9UKB1-3	Q9UKB1	FBW1B_HUMAN	reviewed	F-box/WD repeat-containing protein 11 (F-box and WD repeats protein beta-TrCP2) (F-box/WD repeat-containing protein 1B) (Homologous to Slimb protein) (HOS)	FBXW11 BTRCP2 FBW1B FBXW1B KIAA0696	Homo sapiens (Human)	542
ENSG00000072786		O94804	STK10_HUMAN	reviewed	Serine/threonine-protein kinase 10 (EC 2.7.11.1) (Lymphocyte-oriented kinase)	STK10 LOK	Homo sapiens (Human)	968
ENSG00000168246		Q8WUN7	UBTD2_HUMAN	reviewed	Ubiquitin domain-containing protein 2 (Dendritic cell-derived ubiquitin-like protein) (DC-UbP) (Ubiquitin-like protein SB72)	UBTD2 DCUBP SB72	Homo sapiens (Human)	234
ENSG00000174705		A1X283	SPD2B_HUMAN	reviewed	SH3 and PX domain-containing protein 2B (Adapter protein HOFI) (Factor for adipocyte differentiation 49) (Tyrosine kinase substrate with four SH3 domains)	SH3PXD2B FAD49 KIAA1295 TKS4	Homo sapiens (Human)	911
ENSG00000120129		P28562	DUS1_HUMAN	reviewed	Dual specificity protein phosphatase 1 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase hVH1) (Mitogen-activated protein kinase phosphatase 1) (MAP kinase phosphatase 1) (MKP-1) (Protein-tyrosine phosphatase CL100)	DUSP1 CL100 MKP1 PTPN10 VH1	Homo sapiens (Human)	367
ENSG00000113719	ENSG00000113719 -> Q969X5-1;Q969X5-3	Q969X5	ERGI1_HUMAN	reviewed	Endoplasmic reticulum-Golgi intermediate compartment protein 1 (ER-Golgi intermediate compartment 32 kDa protein) (ERGIC-32)	ERGIC1 ERGIC32 KIAA1181 HT034	Homo sapiens (Human)	290
ENSG00000037241		Q9UNX3	RL26L_HUMAN	reviewed	60S ribosomal protein L26-like 1 (Large ribosomal subunit protein uL24-like 1)	RPL26L1 RPL26P1	Homo sapiens (Human)	145
ENSG00000113732		O15342	VA0E1_HUMAN	reviewed	V-type proton ATPase subunit e 1 (V-ATPase subunit e 1) (V-ATPase 9.2 kDa membrane accessory protein) (V-ATPase M9.2 subunit) (Vacuolar proton pump subunit e 1)	ATP6V0E1 ATP6H ATP6V0E	Homo sapiens (Human)	81
ENSG00000164463	ENSG00000164463 -> Q8IUR6-1;Q8IUR6-2	Q8IUR6	CRERF_HUMAN	reviewed	CREB3 regulatory factor (Luman recruitment factor) (LRF)	CREBRF C5orf41	Homo sapiens (Human)	639
ENSG00000113734	ENSG00000113734 -> Q12981-1;Q12981-2;Q12981-3;Q12981-4	Q12981	SEC20_HUMAN	reviewed	Vesicle transport protein SEC20 (BCL2/adenovirus E1B 19 kDa protein-interacting protein 1) (Transformation-related gene 8 protein) (TRG-8)	BNIP1 NIP1 SEC20L TRG8	Homo sapiens (Human)	228
ENSG00000113739		O76061	STC2_HUMAN	reviewed	Stanniocalcin-2 (STC-2) (Stanniocalcin-related protein) (STC-related protein) (STCRP)	STC2	Homo sapiens (Human)	302
ENSG00000145919	ENSG00000145919 -> Q96IK1-1;Q96IK1-2	Q96IK1	BOD1_HUMAN	reviewed	Biorientation of chromosomes in cell division protein 1 (Biorientation defective protein 1) (Protein FAM44B)	BOD1 FAM44B	Homo sapiens (Human)	185
ENSG00000113742	ENSG00000113742 -> Q17RY0-1;Q17RY0-2;Q17RY0-3	Q17RY0	CPEB4_HUMAN	reviewed	Cytoplasmic polyadenylation element-binding protein 4 (CPE-BP4) (CPE-binding protein 4) (hCPEB-4)	CPEB4 KIAA1673	Homo sapiens (Human)	729
ENSG00000120149		P35548	MSX2_HUMAN	reviewed	Homeobox protein MSX-2 (Homeobox protein Hox-8)	MSX2 HOX8	Homo sapiens (Human)	267
ENSG00000184845		P21728	DRD1_HUMAN	reviewed	D(1A) dopamine receptor (Dopamine D1 receptor)	DRD1	Homo sapiens (Human)	446
ENSG00000164466		Q9H9B4	SFXN1_HUMAN	reviewed	Sideroflexin-1	SFXN1	Homo sapiens (Human)	322
ENSG00000051596	ENSG00000051596 -> Q96J01-1;Q96J01-2	Q96J01	THOC3_HUMAN	reviewed	THO complex subunit 3 (Tho3) (TEX1 homolog) (hTREX45)	THOC3	Homo sapiens (Human)	351
ENSG00000170085	ENSG00000170085 -> Q8NDZ2-1;Q8NDZ2-3;Q8NDZ2-4	Q8NDZ2	SIMC1_HUMAN	reviewed	SUMO-interacting motif-containing protein 1	SIMC1 C5orf25	Homo sapiens (Human)	872
ENSG00000122203	ENSG00000122203 -> Q96A73-1;Q96A73-2	Q96A73	P33MX_HUMAN	reviewed	Putative monooxygenase p33MONOX (EC 1.-.-.-) (Brain-derived rescue factor p60MONOX) (Flavin monooxygenase motif-containing protein of 33 kDa)	KIAA1191 P33MONOX	Homo sapiens (Human)	305
ENSG00000175414		Q8N8L6	ARL10_HUMAN	reviewed	ADP-ribosylation factor-like protein 10	ARL10 ARL10A	Homo sapiens (Human)	244
ENSG00000048162	ENSG00000048162 -> Q9Y3C1-1;Q9Y3C1-3	Q9Y3C1	NOP16_HUMAN	reviewed	Nucleolar protein 16 (HBV pre-S2 trans-regulated protein 3)	NOP16 CGI-117 HSPC111	Homo sapiens (Human)	178
ENSG00000146066		Q9BW72	HIG2A_HUMAN	reviewed	HIG1 domain family member 2A, mitochondrial (RCF1 homolog B) (RCF1b)	HIGD2A	Homo sapiens (Human)	106
ENSG00000175416	ENSG00000175416 -> P09497-1;P09497-2	P09497	CLCB_HUMAN	reviewed	Clathrin light chain B (Lcb)	CLTB	Homo sapiens (Human)	229
ENSG00000113194		Q96CS3	FAF2_HUMAN	reviewed	FAS-associated factor 2 (Protein ETEA) (UBX domain-containing protein 3B) (UBX domain-containing protein 8)	FAF2 ETEA KIAA0887 UBXD8 UBXN3B	Homo sapiens (Human)	445
ENSG00000146083	ENSG00000146083 -> Q7L0R7-1	Q7L0R7	RNF44_HUMAN	reviewed	RING finger protein 44	RNF44 KIAA1100	Homo sapiens (Human)	432
ENSG00000169258	ENSG00000169258 -> Q7Z2K8-1	Q7Z2K8	GRIN1_HUMAN	reviewed	G protein-regulated inducer of neurite outgrowth 1 (GRIN1)	GPRIN1 KIAA1893	Homo sapiens (Human)	1008
ENSG00000048140	ENSG00000048140 -> Q96FV3-2;Q96FV3-3;Q96FV3-4	Q96FV3	TSN17_HUMAN	reviewed	Tetraspanin-17 (Tspan-17) (F-box only protein 23) (Tetraspan protein SB134) (Transmembrane 4 superfamily member 17)	TSPAN17 FBXO23 TM4SF17	Homo sapiens (Human)	270
ENSG00000087206	ENSG00000087206 -> Q96RL1-1;Q96RL1-2;Q96RL1-4	Q96RL1	UIMC1_HUMAN	reviewed	BRCA1-A complex subunit RAP80 (Receptor-associated protein 80) (Retinoid X receptor-interacting protein 110) (Ubiquitin interaction motif-containing protein 1)	UIMC1 RAP80 RXRIP110	Homo sapiens (Human)	719
ENSG00000113761	ENSG00000113761 -> Q9UL40-1;Q9UL40-2;Q9UL40-3	Q9UL40	ZN346_HUMAN	reviewed	Zinc finger protein 346 (Just another zinc finger protein)	ZNF346 JAZ	Homo sapiens (Human)	294
ENSG00000160867	ENSG00000160867 -> P22455-1;P22455-2	P22455	FGFR4_HUMAN	reviewed	Fibroblast growth factor receptor 4 (FGFR-4) (EC 2.7.10.1) (CD antigen CD334)	FGFR4 JTK2 TKF	Homo sapiens (Human)	802
ENSG00000165671	ENSG00000165671 -> Q96L73-1;Q96L73-2	Q96L73	NSD1_HUMAN	reviewed	Histone-lysine N-methyltransferase, H3 lysine-36 and H4 lysine-20 specific (EC 2.1.1.43) (Androgen receptor coactivator 267 kDa protein) (Androgen receptor-associated protein of 267 kDa) (H3-K36-HMTase) (H4-K20-HMTase) (Lysine N-methyltransferase 3B) (Nuclear receptor-binding SET domain-containing protein 1) (NR-binding SET domain-containing protein)	NSD1 ARA267 KMT3B	Homo sapiens (Human)	2696
ENSG00000169228		Q969Q5	RAB24_HUMAN	reviewed	Ras-related protein Rab-24	RAB24	Homo sapiens (Human)	203
ENSG00000169230	ENSG00000169230 -> Q9Y255-1;Q9Y255-2	Q9Y255	PRLD1_HUMAN	reviewed	PRELI domain-containing protein 1, mitochondrial (25 kDa protein of relevant evolutionary and lymphoid interest) (Px19-like protein)	PRELID1 PRELI CGI-106 SBBI12	Homo sapiens (Human)	219
ENSG00000213347	ENSG00000213347 -> Q9BW11-1;Q9BW11-3;Q9BW11-4	Q9BW11	MAD3_HUMAN	reviewed	Max dimerization protein 3 (Max dimerizer 3) (Class C basic helix-loop-helix protein 13) (bHLHc13) (Max-associated protein 3) (Max-interacting transcriptional repressor MAD3) (Myx)	MXD3 BHLHC13 MAD3	Homo sapiens (Human)	206
ENSG00000169223		Q12907	LMAN2_HUMAN	reviewed	Vesicular integral-membrane protein VIP36 (Glycoprotein GP36b) (Lectin mannose-binding 2) (Vesicular integral-membrane protein 36) (VIP36)	LMAN2 C5orf8	Homo sapiens (Human)	356
ENSG00000169220	ENSG00000169220 -> O43566-7	O43566	RGS14_HUMAN	reviewed	Regulator of G-protein signaling 14 (RGS14)	RGS14	Homo sapiens (Human)	566
ENSG00000131187		P00748	FA12_HUMAN	reviewed	Coagulation factor XII (EC 3.4.21.38) (Hageman factor) (HAF) [Cleaved into: Coagulation factor XIIa heavy chain; Beta-factor XIIa part 1; Coagulation factor XIIa light chain (Beta-factor XIIa part 2)]	F12	Homo sapiens (Human)	615
ENSG00000198055	ENSG00000198055 -> P43250-1;P43250-2;P43250-3	P43250	GRK6_HUMAN	reviewed	G protein-coupled receptor kinase 6 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK6)	GRK6 GPRK6	Homo sapiens (Human)	576
ENSG00000131188	ENSG00000131188 -> Q8TB68-1	Q8TB68	PRR7_HUMAN	reviewed	Proline-rich protein 7 (Synaptic proline-rich membrane protein)	PRR7	Homo sapiens (Human)	274
ENSG00000113758	ENSG00000113758 -> Q16643-1;Q16643-2;Q16643-3	Q16643	DREB_HUMAN	reviewed	Drebrin (Developmentally-regulated brain protein)	DBN1 D0S117E	Homo sapiens (Human)	649
ENSG00000196923	ENSG00000196923 -> Q9NR12-1;Q9NR12-2;Q9NR12-3;Q9NR12-4;Q9NR12-5;Q9NR12-6	Q9NR12	PDLI7_HUMAN	reviewed	PDZ and LIM domain protein 7 (LIM mineralization protein) (LMP) (Protein enigma)	PDLIM7 ENIGMA	Homo sapiens (Human)	457
ENSG00000183258		Q9UJV9	DDX41_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX41 (EC 3.6.4.13) (DEAD box protein 41) (DEAD box protein abstrakt homolog)	DDX41 ABS	Homo sapiens (Human)	622
ENSG00000146067	ENSG00000146067 -> Q96PV7-3	Q96PV7	F193B_HUMAN	reviewed	Protein FAM193B	FAM193B IRIZIO KIAA1931	Homo sapiens (Human)	902
ENSG00000184840		Q9BVK6	TMED9_HUMAN	reviewed	Transmembrane emp24 domain-containing protein 9 (GMP25) (Glycoprotein 25L2) (p24 family protein alpha-2) (p24alpha2) (p25)	TMED9 GP25L2	Homo sapiens (Human)	235
ENSG00000027847		Q9UBV7	B4GT7_HUMAN	reviewed	Beta-1,4-galactosyltransferase 7 (Beta-1,4-GalTase 7) (Beta4Gal-T7) (b4Gal-T7) (EC 2.4.1.-) (Proteoglycan UDP-galactose:beta-xylose beta1,4-galactosyltransferase I) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 7) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 7) (UDP-galactose:beta-xylose beta-1,4-galactosyltransferase) (XGPT) (XGalT-1) (Xylosylprotein 4-beta-galactosyltransferase) (EC 2.4.1.133) (Xylosylprotein beta-1,4-galactosyltransferase)	B4GALT7 XGALT1 UNQ748/PRO1478	Homo sapiens (Human)	327
ENSG00000145916	ENSG00000145916 -> Q96G75-1	Q96G75	RMD5B_HUMAN	reviewed	E3 ubiquitin-protein transferase RMND5B (EC 2.3.2.27) (Protein RMD5 homolog B)	RMND5B UNQ2508/PRO5996	Homo sapiens (Human)	393
ENSG00000145912		Q9NX24	NHP2_HUMAN	reviewed	H/ACA ribonucleoprotein complex subunit 2 (Nucleolar protein family A member 2) (snoRNP protein NHP2)	NHP2 NOLA2 HSPC286	Homo sapiens (Human)	153
ENSG00000197451	ENSG00000197451 -> Q99729-2;Q99729-3	Q99729	ROAA_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein A/B (hnRNP A/B) (APOBEC1-binding protein 1) (ABBP-1)	HNRNPAB ABBP1 HNRPAB	Homo sapiens (Human)	332
ENSG00000175309	ENSG00000175309 -> Q8IUZ5-1	Q8IUZ5	AT2L2_HUMAN	reviewed	5-phosphohydroxy-L-lysine phospho-lyase (EC 4.2.3.134) (Alanine--glyoxylate aminotransferase 2-like 2)	PHYKPL AGXT2L2 PP9286	Homo sapiens (Human)	450
ENSG00000113240		Q9HAZ1	CLK4_HUMAN	reviewed	Dual specificity protein kinase CLK4 (EC 2.7.12.1) (CDC-like kinase 4)	CLK4	Homo sapiens (Human)	481
ENSG00000169131		O60765	Z354A_HUMAN	reviewed	Zinc finger protein 354A (Transcription factor 17) (TCF-17) (Zinc finger protein eZNF)	ZNF354A EZNF HKL1 TCF17	Homo sapiens (Human)	605
ENSG00000178338		Q96LW1	Z354B_HUMAN	reviewed	Zinc finger protein 354B	ZNF354B	Homo sapiens (Human)	612
ENSG00000198939		Q6ZN57	ZFP2_HUMAN	reviewed	Zinc finger protein 2 homolog (Zfp-2) (Zinc finger protein 751)	ZFP2 ZNF751	Homo sapiens (Human)	461
ENSG00000234284		B4DU55	ZN879_HUMAN	reviewed	Zinc finger protein 879	ZNF879	Homo sapiens (Human)	563
ENSG00000177932		Q86Y25	Z354C_HUMAN	reviewed	Zinc finger protein 354C (Kidney, ischemia, and developmentally-regulated protein 3) (hKID3)	ZNF354C KID3	Homo sapiens (Human)	554
ENSG00000176783	ENSG00000176783 -> Q96T51-1;Q96T51-2	Q96T51	RUFY1_HUMAN	reviewed	RUN and FYVE domain-containing protein 1 (FYVE-finger protein EIP1) (La-binding protein 1) (Rab4-interacting protein) (Zinc finger FYVE domain-containing protein 12)	RUFY1 RABIP4 ZFYVE12	Homo sapiens (Human)	708
ENSG00000169045		P31943	HNRH1_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein H (hnRNP H) [Cleaved into: Heterogeneous nuclear ribonucleoprotein H, N-terminally processed]	HNRNPH1 HNRPH HNRPH1	Homo sapiens (Human)	449
ENSG00000127022	ENSG00000127022 -> P27824-1	P27824	CALX_HUMAN	reviewed	Calnexin (IP90) (Major histocompatibility complex class I antigen-binding protein p88) (p90)	CANX	Homo sapiens (Human)	592
ENSG00000161021		Q92585	MAML1_HUMAN	reviewed	Mastermind-like protein 1 (Mam-1)	MAML1 KIAA0200	Homo sapiens (Human)	1016
ENSG00000161013	ENSG00000161013 -> Q9UQ53-1;Q9UQ53-3	Q9UQ53	MGT4B_HUMAN	reviewed	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B (EC 2.4.1.145) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase IVb) (GlcNAc-T IVb) (GnT-IVb) (N-acetylglucosaminyltransferase IVb) (UDP-N-acetylglucosamine: alpha-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase IVb)	MGAT4B UNQ906/PRO1927	Homo sapiens (Human)	548
ENSG00000161011	ENSG00000161011 -> Q13501-1;Q13501-2	Q13501	SQSTM_HUMAN	reviewed	Sequestosome-1 (EBI3-associated protein of 60 kDa) (EBIAP) (p60) (Phosphotyrosine-independent ligand for the Lck SH2 domain of 62 kDa) (Ubiquitin-binding protein p62)	SQSTM1 ORCA OSIL	Homo sapiens (Human)	440
ENSG00000161010	ENSG00000161010 -> Q6NTE8-1;Q6NTE8-3	Q6NTE8	MRNIP_HUMAN	reviewed	MRN complex-interacting protein (MRN-interacting protein)	MRNIP C5orf45	Homo sapiens (Human)	343
ENSG00000197226	ENSG00000197226 -> Q66K14-1;Q66K14-2	Q66K14	TBC9B_HUMAN	reviewed	TBC1 domain family member 9B	TBC1D9B KIAA0676	Homo sapiens (Human)	1250
ENSG00000113269	ENSG00000113269 -> Q86XS8-1;Q86XS8-2	Q86XS8	GOLI_HUMAN	reviewed	E3 ubiquitin-protein ligase RNF130 (EC 2.3.2.27) (Goliath homolog) (H-Goliath) (RING finger protein 130) (RING-type E3 ubiquitin transferase RNF130)	RNF130	Homo sapiens (Human)	419
ENSG00000050748	ENSG00000050748 -> P45984-1;P45984-2;P45984-3;P45984-4;P45984-5	P45984	MK09_HUMAN	reviewed	Mitogen-activated protein kinase 9 (MAP kinase 9) (MAPK 9) (EC 2.7.11.24) (JNK-55) (Stress-activated protein kinase 1a) (SAPK1a) (Stress-activated protein kinase JNK2) (c-Jun N-terminal kinase 2)	MAPK9 JNK2 PRKM9 SAPK1A	Homo sapiens (Human)	424
ENSG00000131459		O94808	GFPT2_HUMAN	reviewed	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2 (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase 2) (Glutamine:fructose-6-phosphate amidotransferase 2) (GFAT 2) (GFAT2) (Hexosephosphate aminotransferase 2)	GFPT2	Homo sapiens (Human)	682
ENSG00000113300		Q9ULM6	CNOT6_HUMAN	reviewed	CCR4-NOT transcription complex subunit 6 (EC 3.1.13.4) (CCR4 carbon catabolite repression 4-like) (Carbon catabolite repressor protein 4 homolog) (Cytoplasmic deadenylase)	CNOT6 CCR4 CCR4a KIAA1194	Homo sapiens (Human)	557
ENSG00000131446		P26572	MGAT1_HUMAN	reviewed	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (EC 2.4.1.101) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase I) (GNT-I) (GlcNAc-T I)	MGAT1 GGNT1 GLCT1 GLYT1 MGAT	Homo sapiens (Human)	445
ENSG00000196670	ENSG00000196670 -> Q8NB50-1;Q8NB50-3	Q8NB50	ZFP62_HUMAN	reviewed	Zinc finger protein 62 homolog (Zfp-62)	ZFP62	Homo sapiens (Human)	900
ENSG00000165810	ENSG00000165810 -> Q6UXG8-1;Q6UXG8-2;Q6UXG8-3	Q6UXG8	BTNL9_HUMAN	reviewed	Butyrophilin-like protein 9	BTNL9 UNQ1900/PRO4346	Homo sapiens (Human)	535
ENSG00000146054	ENSG00000146054 -> Q9C029-1;Q9C029-2;Q9C029-3;Q9C029-4	Q9C029	TRIM7_HUMAN	reviewed	E3 ubiquitin-protein ligase TRIM7 (EC 2.3.2.27) (Glycogenin-interacting protein) (RING finger protein 90) (Tripartite motif-containing protein 7)	TRIM7 GNIP RNF90	Homo sapiens (Human)	511
ENSG00000146063	ENSG00000146063 -> Q8WV44-1;Q8WV44-2	Q8WV44	TRI41_HUMAN	reviewed	E3 ubiquitin-protein ligase TRIM41 (EC 2.3.2.27) (RING finger-interacting protein with C kinase) (RINCK) (RING-type E3 ubiquitin transferase TRIM41) (Tripartite motif-containing protein 41)	TRIM41 RINCK	Homo sapiens (Human)	630
ENSG00000204628		P63244	RACK1_HUMAN	reviewed	Receptor of activated protein C kinase 1 (Cell proliferation-inducing gene 21 protein) (Guanine nucleotide-binding protein subunit beta-2-like 1) (Guanine nucleotide-binding protein subunit beta-like protein 12.3) (Human lung cancer oncogene 7 protein) (HLC-7) (Receptor for activated C kinase) (Small ribosomal subunit protein RACK1) [Cleaved into: Receptor of activated protein C kinase 1, N-terminally processed (Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed)]	RACK1 GNB2L1 HLC7 PIG21	Homo sapiens (Human)	317
ENSG00000183718		Q96A61	TRI52_HUMAN	reviewed	Tripartite motif-containing protein 52 (RING finger protein 102)	TRIM52 RNF102	Homo sapiens (Human)	297
ENSG00000112679	ENSG00000112679 -> Q9NRW4-1;Q9NRW4-2	Q9NRW4	DUS22_HUMAN	reviewed	Dual specificity protein phosphatase 22 (EC 3.1.3.16) (EC 3.1.3.48) (JNK-stimulatory phosphatase-1) (JSP-1) (Low molecular weight dual specificity phosphatase 2) (LMW-DSP2) (Mitogen-activated protein kinase phosphatase x) (MAP kinase phosphatase x) (MKP-x)	DUSP22 JSP1 LMWDSP2 MKPX	Homo sapiens (Human)	184
ENSG00000112685		Q96KP1	EXOC2_HUMAN	reviewed	Exocyst complex component 2 (Exocyst complex component Sec5)	EXOC2 SEC5 SEC5L1	Homo sapiens (Human)	924
ENSG00000137273		Q12947	FOXF2_HUMAN	reviewed	Forkhead box protein F2 (Forkhead-related activator 2) (FREAC-2) (Forkhead-related protein FKHL6) (Forkhead-related transcription factor 2)	FOXF2 FKHL6 FREAC2	Homo sapiens (Human)	444
ENSG00000112699	ENSG00000112699 -> O60547-1;O60547-2	O60547	GMDS_HUMAN	reviewed	GDP-mannose 4,6 dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase) (GMD)	GMDS	Homo sapiens (Human)	372
ENSG00000124535	ENSG00000124535 -> Q96S55-1;Q96S55-2;Q96S55-3;Q96S55-4	Q96S55	WRIP1_HUMAN	reviewed	ATPase WRNIP1 (EC 3.6.1.3) (Werner helicase-interacting protein 1)	WRNIP1 WHIP	Homo sapiens (Human)	665
ENSG00000021355	ENSG00000021355 -> P30740-1	P30740	ILEU_HUMAN	reviewed	Leukocyte elastase inhibitor (LEI) (Monocyte/neutrophil elastase inhibitor) (EI) (M/NEI) (Peptidase inhibitor 2) (PI-2) (Serpin B1)	SERPINB1 ELANH2 MNEI PI2	Homo sapiens (Human)	379
ENSG00000170542		P50453	SPB9_HUMAN	reviewed	Serpin B9 (Cytoplasmic antiproteinase 3) (CAP-3) (CAP3) (Peptidase inhibitor 9) (PI-9)	SERPINB9 PI9	Homo sapiens (Human)	376
ENSG00000124570		P35237	SPB6_HUMAN	reviewed	Serpin B6 (Cytoplasmic antiproteinase) (CAP) (Peptidase inhibitor 6) (PI-6) (Placental thrombin inhibitor)	SERPINB6 PI6 PTI	Homo sapiens (Human)	376
ENSG00000124588		P16083	NQO2_HUMAN	reviewed	Ribosyldihydronicotinamide dehydrogenase [quinone] (EC 1.10.5.1) (NRH dehydrogenase [quinone] 2) (NRH:quinone oxidoreductase 2) (Quinone reductase 2) (QR2)	NQO2 NMOR2	Homo sapiens (Human)	231
ENSG00000137275	ENSG00000137275 -> Q13546-1	Q13546	RIPK1_HUMAN	reviewed	Receptor-interacting serine/threonine-protein kinase 1 (EC 2.7.11.1) (Cell death protein RIP) (Receptor-interacting protein 1) (RIP-1)	RIPK1 RIP RIP1	Homo sapiens (Human)	671
ENSG00000137274	ENSG00000137274 -> Q86WA6-1;Q86WA6-2	Q86WA6	BPHL_HUMAN	reviewed	Valacyclovir hydrolase (VACVase) (Valacyclovirase) (EC 3.1.-.-) (Biphenyl hydrolase-like protein) (Biphenyl hydrolase-related protein) (Bph-rp) (Breast epithelial mucin-associated antigen) (MCNAA)	BPHL MCNAA	Homo sapiens (Human)	291
ENSG00000137267		Q13885	TBB2A_HUMAN	reviewed	Tubulin beta-2A chain (Tubulin beta class IIa)	TUBB2A TUBB2	Homo sapiens (Human)	445
ENSG00000137285		Q9BVA1	TBB2B_HUMAN	reviewed	Tubulin beta-2B chain	TUBB2B	Homo sapiens (Human)	445
ENSG00000180822	ENSG00000180822 -> Q5JS54-1;Q5JS54-2;Q5JS54-3	Q5JS54	PSMG4_HUMAN	reviewed	Proteasome assembly chaperone 4 (PAC-4) (hPAC4)	PSMG4 C6orf86 PAC4	Homo sapiens (Human)	123
ENSG00000168994		Q5TGL8	PXDC1_HUMAN	reviewed	PX domain-containing protein 1	PXDC1 C6orf145	Homo sapiens (Human)	231
ENSG00000112739		Q13523	PRP4B_HUMAN	reviewed	Serine/threonine-protein kinase PRP4 homolog (EC 2.7.11.1) (PRP4 kinase) (PRP4 pre-mRNA-processing factor 4 homolog)	PRPF4B KIAA0536 PRP4 PRP4H PRP4K	Homo sapiens (Human)	1007
